   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.58253,             0.44504,             0.46652,             0.38783,            0.010602,           0.0083175,            0.088722,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.63905,              0.3096,             0.35994,             0.29921,            0.011817,             0.01017,            0.088571,                0.01,                0.01,             0.93776,             0.00053,              3.5816,                 0.8,             0.10093,              0.0544,             0.48287,                   1,                   1,              1.1058,                 0.2,              4.0504,                   0,             0.01404,             0.66264,              0.4429,                   0,             0.11253,             0.51064,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.2412
             0.48888,             0.33256,             0.28094,             0.23907,            0.012574,           0.0090026,            0.094424,              0.0112,             0.01167,               0.937,              0.0005,              2.9162,                0.95,             0.10773,             0.05531,             0.53182,             0.95974,             0.86116,             0.87701,                 0.2,              6.2319,                   0,             0.01275,                 0.9,             0.31836,                   0,             0.10977,             0.59936,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.57624,             0.35143,             0.30595,              0.2578,            0.011014,           0.0077954,            0.080508,             0.01056,             0.01042,             0.93776,             0.00053,              3.5816,             0.76119,             0.12012,             0.05408,             0.43432,                   1,             0.88402,              1.1058,                 0.2,              3.0328,                   0,             0.01478,             0.63113,              0.4429,                   0,             0.11705,             0.56533,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.2412
