   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
            0.014955,             0.81515,            0.059498,            0.044858,            0.027256,             0.02386,            0.099696,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
            0.015742,             0.61818,            0.075828,            0.060181,            0.026896,            0.027527,            0.088211,             0.00882,             0.01152,             0.92644,              0.0005,              3.6141,             0.78235,             0.10869,             0.05592,             0.45788,             0.94848,                   1,             0.93258,                 0.2,              3.5415,                   0,              0.0162,             0.73869,             0.33443,                   0,             0.11564,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.5702
            0.013599,             0.33939,             0.06008,            0.047804,             0.02588,            0.020682,             0.08117,             0.00975,             0.01347,             0.87462,             0.00051,              3.6141,             0.90345,               0.093,             0.05592,             0.35639,              1.1462,              1.0525,             0.75951,                 0.2,              3.3115,                   0,             0.01235,              0.8079,             0.53472,                   0,             0.12884,             0.52098,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   2
            0.014282,             0.37879,            0.044278,            0.029195,            0.028539,            0.019998,            0.081035,             0.00975,             0.01347,             0.87462,             0.00053,              3.6141,             0.91527,             0.09412,             0.05544,             0.35639,              1.1444,              1.0608,             0.71169,                 0.2,               3.322,                   0,             0.01262,              0.8216,             0.51272,                   0,             0.13034,             0.52431,                   0,                   0,                   0,                 0.5,             0.99399,                   0,                   0,                   2
            0.016509,             0.57879,            0.086198,            0.067512,            0.023286,            0.020713,             0.10884,             0.00903,             0.01106,               0.937,              0.0005,              3.3113,                 0.8,             0.11448,             0.04713,             0.54288,                   1,              0.8531,             0.90088,                 0.2,              3.4127,                   0,             0.01269,              0.8734,             0.43043,                   0,             0.09531,             0.56597,                   0,                   0,                   0,                 0.5,             0.96987,                   0,                   0,                   3
            0.016276,                 0.8,            0.075699,            0.059619,             0.02073,            0.020561,             0.09769,             0.01064,             0.01097,             0.97247,             0.00045,                   3,             0.92039,              0.1028,              0.0372,             0.44892,              1.0946,              1.0287,             0.97976,                 0.2,                   4,                   0,             0.01392,             0.55562,                 0.4,                   0,                 0.1,             0.39575,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              4.0326
            0.016315,             0.52727,            0.059623,            0.043489,            0.019622,            0.021104,             0.10558,              0.0095,                0.01,                0.98,             0.00037,              2.9798,             0.92824,             0.09798,             0.03628,             0.49804,              1.0632,              1.0763,             0.83639,                 0.2,              3.8732,                   0,             0.01468,             0.55562,             0.38838,                   0,             0.11177,              0.2852,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              4.1375
            0.016624,             0.52657,            0.061186,            0.047057,            0.023975,            0.023995,            0.095296,             0.01115,                0.01,                0.98,             0.00043,              3.1787,             0.92039,             0.08548,             0.03984,             0.41576,              1.1518,              1.1249,             0.96276,                 0.2,                   4,                   0,             0.01604,             0.55562,             0.38097,                   0,             0.08879,             0.35485,                   0,                   0,                   0,                 0.5,             0.96281,                   0,                   0,              5.7899
            0.053649,             0.47769,            0.061657,            0.047858,             0.02014,            0.024516,             0.10656,             0.00895,             0.01097,             0.95351,             0.00045,              2.6568,             0.92039,             0.10676,              0.0372,             0.44892,              1.2046,              1.0287,             0.99659,                 0.2,               4.646,                   0,             0.01266,             0.63462,             0.48408,                   0,             0.08011,             0.38861,                   0,                   0,                   0,                 0.5,             0.87159,                   0,                   0,              4.2624
            0.090204,             0.23636,            0.060067,            0.046264,            0.019977,            0.020961,            0.097947,             0.01064,             0.01091,             0.97276,             0.00045,              3.0061,             0.91305,              0.1028,             0.03745,             0.44659,              1.1024,              1.0172,             0.97976,                 0.2,                   4,                   0,             0.01397,             0.55562,             0.39834,                   0,                 0.1,             0.40903,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              4.2384
