   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.11956,             0.30303,            0.071555,            0.059215,            0.019603,            0.011738,            0.099908,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
            0.058166,             0.54289,            0.070724,            0.057337,            0.020131,            0.012439,             0.10696,             0.00909,             0.01039,             0.93455,             0.00046,              2.8443,             0.84812,             0.11078,             0.04901,             0.47981,              1.1345,              1.0809,              0.9833,                 0.2,              4.0451,                   0,             0.01503,             0.77022,                 0.4,                   0,             0.09252,             0.47053,                   0,                   0,                   0,                 0.5,             0.89281,                   0,                   0,              3.1949
            0.037845,             0.69167,            0.074532,             0.05941,            0.019289,            0.012576,             0.09767,              0.0093,             0.01093,             0.91416,             0.00048,              2.8443,              0.9162,             0.11072,             0.04901,             0.47229,              1.0369,              1.0884,              1.0048,                 0.2,              4.0451,                   0,             0.01503,             0.72978,             0.39924,                   0,             0.09718,             0.47053,                   0,                   0,                   0,                 0.5,             0.89281,                   0,                   0,              3.3175
             0.36741,             0.21246,             0.10733,            0.085468,            0.018984,            0.012922,              0.1214,             0.00893,             0.01165,             0.93455,             0.00049,               3.188,             0.86373,             0.10936,             0.04923,              0.5265,              1.1883,              1.1346,              1.0535,                 0.2,              4.0588,                   0,             0.01392,                 0.9,             0.40585,                   0,             0.08345,             0.41813,                   0,                   0,                   0,                 0.5,             0.89281,                   0,                   0,              3.4235
            0.094686,             0.34625,            0.062704,            0.051199,            0.019656,            0.012706,             0.10726,             0.00951,                0.01,             0.94358,             0.00046,              2.8443,             0.87281,             0.11607,             0.05153,             0.46117,              1.1934,              1.0824,              0.9833,                 0.2,              4.5582,                   0,             0.01368,             0.88065,             0.39879,                   0,              0.0912,             0.42802,                   0,                   0,                   0,                 0.5,             0.81107,                   0,                   0,              2.6874
            0.043883,             0.56364,            0.078986,             0.06515,             0.01581,            0.012734,             0.10649,             0.00881,             0.01039,             0.92228,             0.00044,              2.8443,             0.73755,             0.10255,             0.04135,             0.52543,              1.0141,              1.1553,              0.9833,                 0.2,              3.7426,                   0,             0.01513,               0.706,             0.43832,                   0,             0.08628,             0.45047,                   0,                   0,                   0,                 0.5,             0.83223,                   0,                   0,              3.3862
             0.57608,             0.11943,            0.086088,            0.072699,            0.019322,            0.011804,             0.10907,             0.00986,             0.01074,             0.94024,             0.00044,              2.8443,             0.93155,             0.11127,             0.05042,             0.47981,              1.1645,              1.0736,             0.96221,                 0.2,              4.2949,                   0,             0.01575,             0.73406,             0.36088,                   0,             0.08804,             0.43639,                   0,                   0,                   0,                 0.5,             0.99198,                   0,                   0,              3.1949
            0.021977,              0.7057,            0.078682,            0.065305,            0.015483,            0.014012,             0.12958,              0.0096,              0.0107,             0.93378,             0.00044,              2.9166,             0.72201,             0.10266,             0.03863,             0.55284,              1.2045,              1.3566,              0.9747,                 0.2,              3.7426,                   0,             0.01513,             0.80579,             0.44949,                   0,              0.0779,             0.45089,                   0,                   0,                   0,                 0.5,             0.73966,                   0,                   0,              4.3198
            0.019788,             0.40303,            0.069404,            0.057161,            0.019585,            0.015979,            0.098199,              0.0093,             0.01093,             0.90228,             0.00044,              2.8997,             0.87361,             0.10894,             0.04901,             0.47229,              1.0369,             0.99571,              0.9359,                 0.2,              4.0555,                   0,             0.01503,             0.72978,             0.37781,                   0,             0.10112,             0.47053,                   0,                   0,                   0,                 0.5,             0.89281,                   0,                   0,              4.0434
             0.13865,             0.23271,            0.079172,            0.063127,            0.023303,            0.012658,            0.096857,              0.0093,             0.01281,             0.94943,             0.00048,               1.631,             0.90048,              0.0833,             0.05838,              0.4473,              1.0937,             0.97894,              1.1045,                 0.2,              4.4312,                   0,               0.016,             0.67399,             0.51184,                   0,             0.09948,             0.47053,                   0,                   0,                   0,                 0.5,             0.89281,                   0,                   0,              2.9355
            0.023742,             0.70909,            0.088457,            0.072857,            0.019495,            0.013275,             0.09729,             0.00891,                0.01,             0.88888,             0.00048,              2.8278,             0.94348,              0.1189,             0.04975,             0.47229,              1.0284,              1.0884,              1.0048,                 0.2,              4.8614,                   0,             0.01588,             0.68103,             0.39924,                   0,             0.08793,             0.49777,                   0,                   0,                   0,                 0.5,             0.90754,                   0,                   0,              3.3175
             0.29741,             0.25455,             0.06266,            0.047773,            0.016002,            0.014518,             0.10365,             0.00696,             0.01234,             0.93378,             0.00042,              3.4296,             0.70587,             0.10748,             0.03621,             0.48318,              1.0667,              1.3331,              1.0051,                 0.2,               3.403,                   0,             0.01602,             0.89385,             0.44949,                   0,                0.08,             0.47831,                   0,                   0,                   0,                 0.5,             0.73966,                   0,                   0,              5.0584
             0.13631,             0.33183,             0.10611,            0.084079,            0.015363,            0.014241,             0.12377,             0.01078,             0.01267,             0.92814,             0.00042,              2.7611,             0.72201,             0.09768,             0.03863,             0.54071,              1.1731,              1.4485,              0.9304,                 0.2,              3.5337,                   0,             0.01385,             0.74225,             0.44614,                   0,              0.0779,             0.52651,                   0,                   0,                   0,                 0.5,             0.76381,                   0,                   0,              4.3198
            0.049309,             0.39443,            0.071808,            0.058936,            0.016211,            0.015182,             0.10046,             0.01064,                0.01,             0.87057,             0.00052,              2.9166,             0.88813,             0.10921,             0.03863,             0.55284,             0.88677,              1.3566,              0.9747,                 0.2,              3.9876,                   0,             0.01513,             0.86211,             0.55809,                   0,             0.07548,             0.43034,                   0,                   0,                   0,                 0.5,             0.86937,                   0,                   0,              4.0928
            0.063786,                 0.5,            0.083867,            0.068305,            0.014038,            0.014149,             0.13212,             0.00938,             0.01114,             0.95903,             0.00043,              2.9166,             0.72201,             0.11142,             0.03568,             0.56697,              1.2045,              1.4567,             0.99668,                 0.2,              3.7426,                   0,             0.01513,             0.80579,             0.44949,                   0,              0.0779,             0.44833,                   0,                   0,                   0,                 0.5,             0.68742,                   0,                   0,              3.8045
             0.22056,             0.31409,            0.094538,            0.078435,            0.015738,            0.012429,             0.10884,             0.01081,                0.01,             0.94626,             0.00044,              4.1619,             0.72201,               0.085,             0.04151,             0.59284,             0.91993,              1.3566,             0.91762,                 0.2,              4.1435,                   0,             0.01705,                 0.9,             0.46467,                   0,             0.07375,             0.43662,                   0,                   0,                   0,                 0.5,             0.65714,                   0,                   0,              2.3228
             0.17281,             0.29695,            0.070082,            0.057735,            0.015671,            0.016261,             0.12744,             0.00922,                0.01,             0.95398,              0.0005,              3.0181,             0.71872,             0.09528,             0.03834,             0.55284,              1.1838,              1.4229,              1.0405,                 0.2,              4.0677,                   0,             0.01762,             0.80579,             0.49844,                   0,             0.07199,             0.45089,                   0,                   0,                   0,                 0.5,             0.67337,                   0,                   0,              4.2919
            0.084225,             0.40606,            0.089434,            0.074156,            0.016276,            0.014974,             0.13766,              0.0096,             0.01145,             0.93378,             0.00046,              3.0359,             0.72201,             0.10266,             0.03863,             0.49932,              1.4486,              1.2766,              1.1405,                 0.2,              4.6818,                   0,             0.01513,             0.80579,             0.44949,                   0,             0.07711,             0.45089,                   0,                   0,                   0,                 0.5,             0.74548,                   0,                   0,              4.9553
            0.040246,             0.50613,            0.067681,            0.055863,            0.015565,            0.013906,             0.12917,              0.0096,             0.01073,             0.93424,             0.00044,              2.9185,             0.72052,             0.10309,             0.03869,              0.5533,               1.203,              1.3517,              0.9754,                 0.2,              3.7443,                   0,             0.01515,             0.80579,             0.44949,                   0,             0.07771,             0.45079,                   0,                   0,                   0,                 0.5,             0.73966,                   0,                   0,                4.29
             0.10774,             0.47879,             0.12707,            0.098422,            0.010809,              0.0143,             0.13343,             0.01181,             0.01235,             0.95646,              0.0004,              2.9166,             0.91028,             0.09031,             0.02548,              0.5772,              1.2155,              1.4224,              0.9747,                 0.2,              3.8046,                   0,             0.01394,                 0.9,             0.50158,                   0,              0.0779,             0.45992,                   0,                   0,                   0,                 0.5,             0.75801,                   0,                   0,              4.3198
             0.11537,             0.27879,            0.071683,            0.058142,            0.018538,             0.01314,             0.12362,             0.00893,             0.01165,             0.93011,             0.00049,              3.5981,             0.86373,             0.10539,             0.04865,             0.54308,              1.1595,              1.0095,              1.1128,                 0.2,              3.8308,                   0,              0.0145,             0.89904,             0.38432,                   0,             0.08763,             0.44675,                   0,                   0,                   0,                 0.5,             0.85674,                   0,                   0,              3.9604
             0.20595,             0.39394,            0.079823,            0.064703,            0.022643,            0.012083,             0.13971,             0.00883,             0.01165,                0.98,             0.00065,              4.0844,                0.95,             0.09062,             0.05349,              0.5265,              1.4042,              1.2761,             0.80513,                 0.2,              3.6864,                   0,             0.01392,                 0.9,             0.38264,                   0,             0.08345,             0.36479,                   0,                   0,                   0,                 0.5,             0.85691,                   0,                   0,              3.4235
            0.075731,             0.39011,            0.090103,            0.072854,            0.020183,            0.013642,             0.11147,             0.00877,              0.0105,             0.93074,              0.0005,               3.458,             0.85759,             0.08619,              0.0528,              0.5265,              1.0664,              1.1805,             0.90747,                 0.2,              4.0588,                   0,             0.01232,                 0.9,             0.43341,                   0,             0.09333,             0.43462,                   0,                   0,                   0,                 0.5,             0.79215,                   0,                   0,              3.4235
            0.040625,             0.41897,             0.07957,            0.066201,            0.019808,            0.012973,              0.1411,             0.01143,             0.01177,             0.95014,             0.00046,               3.895,             0.83752,             0.11418,             0.05225,              0.6107,              1.1883,              1.0916,              1.2439,                 0.2,              3.7012,                   0,             0.01298,                 0.9,             0.38228,                   0,             0.07838,               0.379,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              4.4259
