   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.55119,             0.47583,             0.54483,             0.46963,            0.014238,            0.017908,            0.084731,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.62223,             0.48891,             0.51426,             0.43484,            0.013498,            0.021133,            0.085538,                0.01,                0.01,             0.96511,             0.00052,              3.0093,             0.81041,                 0.1,             0.04698,                 0.5,             0.98384,              1.0626,              1.0673,                 0.2,              4.1899,                   0,             0.01401,             0.64895,             0.42686,                   0,             0.10575,                 0.5,                   0,                   0,                   0,                 0.5,             0.97443,                   0,                   0,              3.0991
             0.84526,             0.69848,             0.76702,             0.62808,            0.016232,            0.013667,            0.055441,              0.0108,             0.01214,               0.937,             0.00051,              3.9368,             0.71432,             0.09004,                0.05,              0.6161,              1.0508,             0.95477,             0.62891,                 0.2,                   4,                   0,             0.01844,             0.72374,             0.41947,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   2
             0.76598,             0.44947,             0.58431,             0.48668,            0.013941,            0.016548,            0.081086,                0.01,             0.01051,             0.95294,             0.00052,              2.8793,              0.7726,                 0.1,                0.05,              0.4866,              1.0357,             0.97951,             0.94193,                 0.2,              3.9092,                   0,              0.0135,             0.70167,             0.37422,                   0,             0.09936,             0.50932,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.76251,                 0.5,             0.68348,             0.58956,            0.013928,            0.017514,            0.078928,                0.01,              0.0104,               0.937,             0.00048,              2.9732,             0.79176,             0.10227,             0.04785,             0.50603,              1.0248,              1.0135,              1.0542,                 0.2,              4.1054,                   0,              0.0139,             0.71044,             0.38627,                   0,             0.09929,             0.52194,                   0,                   0,                   0,                 0.5,             0.97654,                   0,                   0,              3.0665
             0.31076,                0.72,             0.42648,             0.36168,            0.014366,            0.015033,            0.087052,             0.00991,              0.0106,             0.96059,             0.00044,              3.0859,             0.85443,             0.10368,             0.05084,              0.4965,                   1,             0.93319,             0.92683,                 0.2,              3.9638,                   0,             0.01504,             0.72549,             0.42627,                   0,             0.09764,                 0.5,                   0,                   0,                   0,                 0.5,             0.99189,                   0,                   0,                   3
             0.90763,                0.46,             0.74729,             0.61216,            0.015965,            0.016608,            0.064182,             0.00885,                0.01,             0.82173,             0.00049,              2.8434,             0.80987,             0.10055,             0.04228,             0.45384,               1.211,             0.93668,              1.0355,                 0.2,              4.2156,                   0,             0.01427,             0.62884,             0.42664,                   0,             0.09889,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.3504
             0.40555,             0.51737,             0.38012,             0.30316,            0.019685,            0.011614,             0.11708,             0.01204,             0.01046,             0.97227,             0.00055,              2.8089,             0.67105,             0.11278,             0.05622,             0.54978,              1.2594,              1.0216,              1.0066,                 0.2,              4.0193,                   0,             0.01232,             0.72551,             0.27933,                   0,             0.10579,             0.49128,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              4.0309
             0.73381,             0.45743,             0.61212,               0.512,            0.015262,            0.020092,             0.08179,                0.01,             0.01005,             0.93709,             0.00054,              2.9564,             0.76495,             0.10227,              0.0542,             0.48417,              1.0796,              1.0872,              1.0068,                 0.2,              4.1054,                   0,              0.0139,             0.67071,             0.43024,                   0,             0.11421,             0.56077,                   0,                   0,                   0,                 0.5,             0.93307,                   0,                   0,              3.4114
             0.55134,             0.40004,             0.39849,             0.30937,            0.012871,            0.010169,            0.090474,             0.00956,                0.01,             0.93415,             0.00054,              3.0225,             0.79176,             0.10009,             0.05394,             0.48005,              1.0796,              1.0988,              1.0068,                 0.2,              4.1054,                   0,             0.01542,             0.67071,             0.43706,                   0,             0.10896,             0.56077,                   0,                   0,                   0,                 0.5,             0.93175,                   0,                   0,              3.5748
             0.83742,             0.66399,              0.8212,             0.65928,            0.016885,            0.014041,            0.068112,                0.01,             0.01114,             0.93709,              0.0006,              3.1682,             0.69661,             0.12087,             0.04345,             0.67574,              1.0796,             0.99351,              1.2027,                 0.2,              5.5317,                   0,             0.01066,             0.67071,             0.55378,                   0,              0.1404,             0.46689,                   0,                   0,                   0,                 0.5,             0.87192,                   0,                   0,              4.0533
             0.74139,             0.71441,             0.80407,             0.70653,            0.013922,            0.015297,             0.05485,                0.01,                0.01,             0.87969,             0.00042,              3.4104,             0.79176,             0.10283,             0.04487,             0.60447,              1.0248,             0.91624,             0.94501,                 0.2,              4.1054,                   0,             0.01422,             0.65764,             0.34737,                   0,             0.09929,             0.64571,                   0,                   0,                   0,                 0.5,             0.90632,                   0,                   0,                   2
             0.79017,             0.62275,             0.66971,             0.48621,            0.016895,           0.0099269,            0.063759,             0.01097,                0.01,             0.82173,             0.00049,              2.8434,             0.92743,             0.09847,             0.03811,             0.35822,              1.5159,             0.93668,              1.0767,                 0.2,              4.5248,                   0,             0.01437,             0.62884,             0.35187,                   0,             0.10697,               0.484,                   0,                   0,                   0,                 0.5,              0.8998,                   0,                   0,               4.377
             0.76768,             0.53404,             0.63734,             0.47239,            0.016607,            0.010258,            0.077703,             0.00859,                0.01,             0.85144,             0.00042,              2.8434,             0.74989,             0.10055,             0.04443,              0.4428,               1.211,             0.93668,              1.0768,                 0.2,              4.2156,                   0,             0.01427,             0.66975,             0.48327,                   0,              0.1028,              0.4717,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.9223
