   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.11956,             0.30303,            0.071555,            0.059215,            0.019603,            0.011738,            0.099908,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
            0.018475,             0.72329,            0.063952,            0.052534,            0.020826,            0.012366,             0.09639,                0.01,             0.01052,             0.92715,              0.0005,                   3,                 0.8,             0.08502,              0.0583,                 0.5,             0.95529,             0.93988,              1.0619,                 0.2,              4.0387,                   0,             0.01304,                 0.7,                 0.4,                   0,               0.088,             0.59586,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.9541
            0.022349,             0.59413,             0.10067,            0.080745,            0.019348,            0.011705,             0.10182,                0.01,             0.01052,             0.93827,             0.00051,              3.0109,                 0.8,              0.0906,             0.05336,             0.54742,             0.91585,             0.99188,              1.0779,                 0.2,              3.8616,                   0,             0.01304,             0.74317,             0.38051,                   0,             0.08172,             0.60262,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.3161
             0.17762,             0.19677,            0.079184,            0.065973,            0.022118,            0.011291,            0.091571,             0.00922,             0.01142,             0.92393,             0.00055,              3.0347,                 0.8,             0.08063,             0.05907,                 0.5,             0.90223,             0.93988,              1.0619,                 0.2,              4.4773,                   0,             0.01404,              0.7221,             0.37479,                   0,             0.07867,             0.59586,                   0,                   0,                   0,                 0.5,             0.85022,                   0,                   0,               2.427
             0.31683,             0.14784,            0.069603,            0.058793,            0.021732,            0.012927,            0.096244,             0.00986,             0.01079,             0.92715,             0.00048,              2.9718,             0.80774,             0.08604,              0.0604,             0.50246,             0.94611,             0.93988,              1.0563,                 0.2,              4.1017,                   0,             0.01302,             0.69885,              0.3939,                   0,               0.088,             0.59729,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.9845
            0.064631,             0.40929,             0.10821,            0.079163,            0.027703,            0.012791,             0.10814,             0.01051,             0.01079,             0.92325,             0.00048,              3.1065,             0.81755,             0.09776,             0.07454,             0.59682,             0.89398,             0.93988,              1.2846,                 0.2,              4.9811,                   0,              0.0159,             0.69885,             0.46908,                   0,             0.06852,             0.59729,                   0,                   0,                   0,                 0.5,             0.99387,                   0,                   0,                   2
            0.017656,             0.59638,            0.066712,            0.050835,            0.032224,            0.014657,             0.11604,             0.01147,                0.01,             0.92325,             0.00061,              3.5932,              0.7065,             0.07534,             0.08241,             0.59682,             0.97088,             0.93988,               1.358,                 0.2,              5.7393,                   0,             0.01513,              0.6308,             0.37345,                   0,              0.0881,             0.64323,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   2
             0.02321,             0.64242,            0.083958,            0.059422,            0.030746,             0.01544,             0.12379,             0.01413,                0.01,             0.87912,             0.00094,                3.19,              0.7065,             0.02722,             0.07695,              0.6219,             0.99304,             0.95709,              1.3333,                 0.2,              6.0808,                   0,             0.01513,             0.67876,             0.48248,                   0,             0.07239,             0.64323,                   0,                   0,                   0,                 0.5,              0.9196,                   0,                   0,              2.5202
             0.15682,             0.28368,             0.08882,            0.075976,            0.031536,            0.013417,             0.10172,             0.00989,             0.01079,             0.92325,             0.00048,              3.1065,             0.83885,             0.09776,             0.08098,             0.56744,             0.88226,             0.93349,              1.2695,                 0.2,              4.9949,                   0,              0.0159,             0.71309,             0.42874,                   0,             0.06852,             0.58307,                   0,                   0,                   0,                 0.5,             0.99387,                   0,                   0,                   2
             0.38947,             0.20189,            0.069905,            0.054215,            0.029206,            0.014144,             0.11996,             0.01051,             0.01137,             0.89141,             0.00062,              3.2583,             0.73479,             0.08442,             0.07454,             0.59682,              1.0082,             0.89717,              1.2846,                 0.2,              4.9811,                   0,             0.01547,             0.84757,             0.47499,                   0,             0.06466,             0.63065,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   2
             0.19837,             0.27576,            0.095737,            0.072669,            0.027855,            0.013417,             0.11201,             0.01083,             0.01098,             0.93559,             0.00047,              3.1065,             0.81089,             0.09262,             0.07439,             0.61543,             0.90242,              0.9978,              1.2846,                 0.2,              5.0714,                   0,             0.01664,             0.69984,             0.46291,                   0,             0.06852,             0.59472,                   0,                   0,                   0,                 0.5,             0.99596,                   0,                   0,              2.0157
            0.036605,             0.43781,            0.098576,            0.084643,            0.031285,            0.021464,             0.13071,             0.00763,                0.01,             0.88474,             0.00048,              3.1065,             0.81755,             0.09776,             0.08113,             0.62114,              1.0569,             0.74877,              1.2846,                 0.2,              4.1038,                   0,             0.01258,             0.59542,             0.45407,                   0,             0.06852,             0.48921,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.4833
            0.045602,             0.24158,            0.080224,            0.064022,            0.028534,            0.022014,             0.13188,             0.00763,                0.01,             0.87554,             0.00047,               3.111,             0.87581,             0.09757,             0.07443,             0.62114,              1.0631,             0.74877,              1.3866,                 0.2,              4.6602,                   0,              0.0115,             0.54959,             0.45407,                   0,             0.06565,              0.4309,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              4.4045
