   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.58253,             0.44504,             0.46652,             0.38783,            0.010602,           0.0083175,            0.088722,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.53346,             0.40139,              0.2461,             0.19849,            0.012084,           0.0081376,             0.10256,             0.01006,             0.01024,             0.97267,             0.00051,                   3,             0.76528,             0.10415,             0.05903,             0.54826,                   1,             0.83895,             0.81269,                 0.2,                   4,                   0,             0.01497,             0.79392,             0.45075,                   0,                 0.1,             0.52429,                   0,                   0,                   0,                 0.5,             0.95195,                   0,                   0,                   3
             0.75148,             0.35632,             0.43218,             0.36563,           0.0099887,           0.0086645,            0.088032,             0.01008,             0.01012,             0.94036,              0.0005,               2.981,             0.81268,                 0.1,             0.04896,             0.50063,              1.0049,              1.0008,              1.0253,                 0.2,              4.0156,                   0,               0.015,             0.70704,             0.40267,                   0,                 0.1,              0.4972,                   0,                   0,                   0,                 0.5,             0.99961,                   0,                   0,               3.027
             0.51046,             0.79571,             0.78482,             0.67518,            0.011596,           0.0071179,            0.049174,             0.01208,                0.01,             0.89227,             0.00052,              3.3798,                0.95,                 0.1,             0.04965,             0.55421,              1.0049,              0.7637,              1.0937,                 0.2,              4.1255,                   0,             0.01346,             0.83227,             0.40268,                   0,                 0.1,             0.57053,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.2172
             0.62204,             0.38363,             0.42753,             0.35443,            0.010585,           0.0091144,            0.089519,             0.01008,                0.01,             0.94116,              0.0005,              3.0467,             0.81268,             0.10181,             0.04687,             0.50063,              1.0099,             0.93056,              1.0253,                 0.2,              4.2339,                   0,             0.01454,             0.72451,             0.40267,                   0,             0.09539,              0.4972,                   0,                   0,                   0,                 0.5,             0.96561,                   0,                   0,              2.9383
              0.7088,             0.52874,             0.61246,             0.51367,            0.010483,           0.0070539,            0.062302,             0.01008,                0.01,             0.85931,             0.00044,              2.9513,              0.7827,             0.10181,             0.04687,             0.49313,             0.80634,             0.85469,              1.0572,                 0.2,              3.7455,                   0,             0.01454,             0.71168,              0.3832,                   0,             0.08901,             0.35556,                   0,                   0,                   0,                 0.5,             0.96561,                   0,                   0,              2.2993
             0.65379,             0.79844,             0.78466,             0.67056,            0.013338,             0.01045,             0.05778,             0.01271,                0.01,             0.84653,              0.0005,              4.0456,             0.67957,             0.11544,                0.05,             0.54731,              1.3724,              1.0106,               1.005,                 0.2,              4.4204,                   0,               0.015,             0.53951,             0.49284,                   0,             0.09577,             0.36896,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   2
             0.55845,             0.61031,             0.61951,             0.53219,            0.010584,           0.0073826,            0.054846,             0.00956,                0.01,             0.84032,             0.00037,              3.2029,             0.77524,             0.09838,             0.04333,             0.48454,             0.80634,             0.80714,              1.0637,                 0.2,              4.5887,                   0,             0.01454,             0.74065,             0.37374,                   0,             0.08744,              0.3711,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.2993
             0.78961,             0.65814,             0.73954,             0.60168,            0.011576,           0.0080148,            0.064774,             0.00601,                0.01,             0.80883,              0.0004,              2.2329,              0.7827,             0.10448,             0.03462,             0.65125,             0.93124,             0.93389,              1.2733,                 0.2,              2.3993,                   0,             0.01057,             0.66616,             0.32436,                   0,             0.08842,             0.37879,                   0,                   0,                   0,                 0.5,             0.92531,                   0,                   0,                   2
             0.81242,             0.58734,             0.69716,             0.58543,           0.0099089,           0.0066093,            0.062164,             0.00523,                0.01,             0.91477,             0.00039,              2.2329,             0.65687,             0.13815,             0.04045,             0.66018,              0.6273,             0.93389,              1.2733,                 0.2,              2.5412,                   0,             0.01057,             0.66616,             0.32436,                   0,             0.08614,              0.3851,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   2
