   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.55119,             0.47583,             0.54483,             0.46963,            0.014238,            0.017908,            0.084731,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.65272,               0.291,             0.38253,             0.31125,            0.017776,           0.0062799,            0.081482,             0.00838,                0.01,             0.86666,             0.00047,                   3,             0.67069,             0.10498,             0.06635,             0.45325,                   1,             0.93289,             0.89131,                 0.2,              3.2606,                   0,              0.0107,             0.82915,             0.42403,                   0,              0.0963,             0.54372,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.9315
             0.54174,                0.58,             0.51796,              0.4258,            0.013405,            0.016224,            0.082912,             0.01053,                0.01,               0.937,              0.0005,              2.9961,             0.80459,             0.10002,             0.04944,             0.48267,             0.97964,              1.0133,                   1,                 0.2,                   4,                   0,             0.01469,              0.7231,             0.40319,                   0,             0.10142,             0.48706,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.2022
             0.34589,             0.51322,             0.45938,              0.3817,            0.011884,           0.0077432,            0.083822,             0.00994,                0.01,               0.937,             0.00052,              3.1161,             0.77766,             0.11828,             0.05155,             0.48267,             0.97964,              1.0133,             0.79027,                 0.2,              4.1196,                   0,             0.01469,              0.7231,             0.43311,                   0,             0.10142,             0.48706,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.9567
              0.5587,                 0.5,             0.40229,             0.32611,            0.013264,           0.0091301,            0.093045,             0.00994,             0.01011,             0.96764,              0.0005,              3.1161,             0.76947,             0.10154,             0.05155,             0.54925,             0.95155,              1.2754,             0.83559,                 0.2,              3.5943,                   0,             0.01469,             0.56001,              0.4785,                   0,             0.10142,             0.53024,                   0,                   0,                   0,                 0.5,             0.98725,                   0,                   0,              3.9567
